,id,name,order_menu,cuisines,timings,cost_for_two,price_range,currency,highlights,offers,user_rating,online_delivery,delivering,reservation_supported,has_table_booking,establishment,address,locality,city,city_id,latitude,longitude,zipcode,country_id,locality_verbose
65,19226108,Pizza Choice,0,"Pizza, Italian, Modern Indian",11 AM to 11 PM,300,1,Rs.,"Dinner,Cash,Takeaway Available,Debit Card,Lunch,Delivery,Credit Card,Indoor Seating,Air Conditioned",,4.3,1,0,0,0,Casual Dining,"Shop No. 05, Jogi Ram Saini Complex, opp. HNG gate, Delhi Rohtak Road, Bahadurgarh, Bahadurgarh Locality, Bahadurgarh",Bahadurgarh Locality,Bahadurgarh,11593,28.6910500000,76.9335750000,,1,"Bahadurgarh Locality, Bahadurgarh"
66,18483704,Non Entree Dessert Cafe,0,"Desserts, Bakery","Closed (Mon),2 PM to 10 PM (Tue-Thu),2 PM to 11 PM (Fri),12 Noon to 11 PM (Sat),12 Noon to 10 PM (Sun)",30,3,$,"Cash,Desserts and Bakes,Indoor Seating",,4.6,0,0,0,0,Dessert Parlour,204 Rangoon Road 218451,"Kampong Java, Kallang",Singapore,52,1.3175386667,103.8529746670,218451,184,"Kampong Java, Kallang, Singapore"
67,17842230,Three Blue Ducks - The Farm,0,"Modern Australian, Cafe Food","7 AM to 11:30 AM, 12 Noon to 3 PM (Mon-Thu),7 AM to 11:30 AM, 12 Noon to 3 PM, 5 PM to 10 PM (Fri-Sun)",70,4,$,"Cash,Lunch,Credit Card,Breakfast,No Alcohol Available,Dinner,Outdoor Seating,Vegetarian Friendly,Farm-to-Table,Kid Friendly",,3.8,0,0,0,0,Café,"11 Ewingsdale Road, Ewingsdale, Byron Bay, Byron Bay",Byron Bay,Byron Bay,2013,-28.6353000000,153.5561930000,2481,14,"Byron Bay, Byron Bay"
68,18483011,LeVeL33,0,"Continental, Bar Food","11:30 AM to 12 Midnight (Mon-Wed),11:30 AM to 12 Midnight, 2 AM to 12 Midnight (Thu-Sat),12 Noon to 12 Midnight (Sun)",100,4,$,"Cash,Lunch,Breakfast,Dinner,Outdoor Seating,Brunch,Fullbar,Indoor Seating,Nightlife,Beer,Table booking recommended",,4.8,0,0,0,0,Lounge,"8 Marina Boulevard, #33-01 Marina Bay Financial Centre 018981","Central Subzone, Downtown Core",Singapore,52,1.2804522774,103.8542044000,018981,184,"Central Subzone, Downtown Core, Singapore"
69,18493989,Makansutra Gluttons Bay,0,"Singaporean, Chinese, Seafood, Malay, Indian","5 PM to 2 AM (Mon-Thu),5 PM to 3 AM (Fri-Sat),4 PM to 2 AM (Sun)",30,3,$,"Cash,Takeaway Available,Serves Alcohol,Dinner,Indoor Seating,Outdoor Seating",,4.7,0,0,0,0,Quick Bites,"803 Raffles Avenue, #01-15 Esplanade Mall 039802","Marina Centre, Downtown Core",Singapore,52,1.2897619638,103.8558665330,039802,184,"Marina Centre, Downtown Core, Singapore"
70,19055885,The Sun Restaurant,0,"South Indian, North Indian, Fast Food, Desserts, Chinese, Beverages, Arabian",11 AM to 10:30 PM,250,1,Rs.,Delivery,,4.1,1,0,0,0,,"Sha international complex, bye pass road, Hosur",Hosur Locality,Hosur,11582,12.7361307623,77.8244689107,635109,1,"Hosur Locality, Hosur"
71,18482862,Crossroads Cafe,0,"American, European, Singaporean","7 AM to 1 AM (Mon, Tue, Wed, Thu, Sun), 7 AM to 2 AM (Fri-Sat)",115,4,$,"Dinner,Cash,Debit Card,Breakfast,Credit Card,Lunch,Table booking recommended,Indoor Seating,Nightlife,Wine,Outdoor Seating,Brunch,Fullbar",,4.0,0,0,0,0,Bar,"320 Orchard Road, Level 1 Singapore Marriott Hotel 238865","Tang Plaza, Orchard",Singapore,52,1.3051937000,103.8325197500,238865,184,"Tang Plaza, Orchard, Singapore"
72,18988834,The Bay Grill,0,"South Indian, Indian, Chinese, Arabian",11:30 AM to 11 PM,300,1,Rs.,"Debit Card,Dinner,Cash,Lunch,Indoor Seating,Halal,Air Conditioned",,4.6,1,0,0,0,Casual Dining,"Opp Velan Hotel Kangeyam Road Tirupur, Valliammai Nagar, Tiruppur",Valliammai Nagar,Tiruppur,11368,11.1026895082,77.3633636534,,1,"Valliammai Nagar, Tiruppur"
73,19233379,Chats Circle,0,"Chinese, Ice Cream, Juices",10 AM to 10 PM,200,1,Rs.,Cash,,3.3,1,0,0,0,Café,"Opposite Marikamba Temple, Tavarumane, Sagara Locality, Sagara",Sagara Locality,Sagara,11808,14.1667379000,75.0284538000,577401,1,"Sagara Locality, Sagara"
74,19187776,Green Kitchen Family Restaurant,0,"Biryani, Chinese, Healthy Food, Juices, North Indian, South Indian, Tamil, Thai","11 AM to 4 PM, 4:30 PM to 11 PM",300,1,Rs.,"Debit Card,Dinner,Cash,Credit Card,Lunch,Delivery,Indoor Seating,Pure Veg,All Day Breakfast,Air Conditioned",,3.4,1,0,0,0,Casual Dining,"Cumbum Road, Palanichettipatti Theni, Theni Locality, Theni",Theni Locality,Theni,11884,10.0067804265,77.4723689631,626531,1,"Theni Locality, Theni"
75,19144976,Manna Food Corner,0,"Arabian, Biryani, Chinese",11am – 11pm (Mon-Sun),200,1,Rs.,"Dinner,Cash,Lunch,Takeaway Available,Indoor Seating,Air Conditioned",,4.1,1,0,0,0,Quick Bites,"15/627 J, Kunnamkulam Locality, Kunnamkulam",Kunnamkulam Locality,Kunnamkulam,11845,10.6506888452,76.0695032403,,1,"Kunnamkulam Locality, Kunnamkulam"
76,18479742,I am...,0,"Cafe, Fusion, Western","11 AM to 11 PM (Mon-Thu),11 AM to 1 AM (Fri-Sat),11 AM to 10 PM (Sun)",60,4,$,"Cash,Debit Card,Takeaway Available,Lunch,Credit Card,Delivery,Dinner,No Alcohol Available,Indoor Seating,Outdoor Seating,Kid Friendly,Brunch",,4.3,0,0,0,0,Café,"674 North Bridge Road, #01-01 Haji Lane, Rochor, Singapore 188804","North Bridge Road, Rochor",Singapore,52,1.3017071676,103.8584296440,188804,184,"North Bridge Road, Rochor, Singapore"
77,19008613,Andhra Spice (Original),0,"Biryani, Hyderabadi, Andhra, Kebab, Chinese",11:30 AM to 11 PM,350,2,Rs.,"Takeaway Available,Debit Card,Lunch,Delivery,Cash,Credit Card,Dinner,Indoor Seating,Air Conditioned,Digital Payments Accepted,Table Reservation Not Required,Halal",,4.3,1,0,0,0,Fine Dining,"Railways station Road, infront kanishka, kadapa, Kadapa Locality, Kadapa",Kadapa Locality,Kadapa,11438,14.4719163804,78.8235914335,,1,"Kadapa Locality, Kadapa"
78,18483286,Pacamara Boutique Coffee Roasters,0,Cafe,9 AM to 11 PM (Mon-Sun),50,3,$,"Cash,Debit Card,Takeaway Available,Lunch,Credit Card,Breakfast,No Alcohol Available,Dinner,Brunch,Indoor Seating",,4.7,0,0,0,0,Café,"185 Upper Thomson Road, Yew Lian Park 574333","Upper Thomson Road, Bishan",Singapore,52,1.3514223525,103.8355843550,574333,184,"Upper Thomson Road, Bishan, Singapore"
79,18850806,Kakatiya Grand Family Restaurant,0,"Biryani, North Indian, Chinese, Fast Food, Arabian","12noon – 4pm, 6pm – 11pm (Mon-Sun)",350,2,Rs.,"Dinner,Delivery,Lunch,Cash,Takeaway Available,Indoor Seating,Digital Payments Accepted",,4.1,1,0,0,0,Quick Bites,"#3680/2, 2nd Floor, JJMC Medical Boys Hostel Road Corner, Mcc, Davangere - 577004, MCC B Block, Kuvempu Nagar, Near ICICI ATM Building, Davanagere Locality, Davanagere",Davanagere Locality,Davanagere,11386,14.4484245911,75.9114948939,,1,"Davanagere Locality, Davanagere"
